"","Location","CountryName_FromSource","SubCountry_L1_FromSource","SubCountry_L2_FromSource","Longitude1","Latitude1","EventType","TotalVolunteers","Year","Totalltems_EventRecord","PCT_PlasticAndFoam","PCT_Glass_Rubber_Lumber_Metal","SUM_Hard_PlasticBeverageBottle","SUM_Hard_OtherPlasticBottle","SUM_HardOrSoft_PlasticBottleCap","SUM_PlasticOrFoamFoodContainer","SUM_Hard_BucketOrCrate","SUM_Hard_Lighter","SUM_OtherHardPlastic","SUM_PlasticOrFoamPlatesBowlsCup","SUM_HardSoft_PersonalCareProduc","SUM_HardSoftLollipopStick_EarBu","SUM_Soft_Bag","SUM_Soft_WrapperOrLabel","SUM_Soft_Straw","SUM_Soft_OtherPlastic","SUM_Soft_CigaretteButts","Fishing_Net","SUM_Foam_OtherPlasticDebris","SUM_OtherPlasticDebris","NAME","COUNTRY","ISO_CODE","ISO_CC","ISO_SUB"
"1","Agege, Lagos, Nigeria"," Nigeria","Lagos","Agege",3.30569,6.62931,"Land (beach, shoreline and inland) Cleanup",4,2017,372,79.6,20.4,118,0,50,38,0,0,0,47,0,0,15,0,20,0,3,0,0,5,"Lagos","Nigeria","NGLA","NG","LA"
"2","Agege, Lagos, Nigeria"," Nigeria","Lagos","Agege",3.30599,6.62871,"Land (beach, shoreline and inland) Cleanup",8,2017,350,62.9,37.1,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"3","Agege, Lagos, Nigeria"," Nigeria","Lagos","Agege",3.30571,6.62943,"Land (beach, shoreline and inland) Cleanup",8,2017,873,98.4,1.6,380,0,155,25,0,0,0,59,11,0,151,50,15,0,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"4","Agege, Lagos, Nigeria"," Nigeria","Lagos","Agege",3.30569,6.62858,"Land (beach, shoreline and inland) Cleanup",8,2017,764,89.9,10.1,230,0,95,121,0,0,0,56,0,0,1,123,0,61,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"5","Agege, Lagos, Nigeria"," Nigeria","Lagos","Agege",3.30564,6.62833,"Land (beach, shoreline and inland) Cleanup",8,2017,706,99.9,0.1,255,0,0,123,0,0,0,18,0,0,125,180,0,0,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"6","Agege, Lagos, Nigeria"," Nigeria","Lagos","Agege",3.30564,6.62833,"Land (beach, shoreline and inland) Cleanup",8,2017,706,99.9,0.1,255,0,0,123,0,0,0,18,0,0,125,180,0,0,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"7","Ibeju Lekki, Nigeria"," Nigeria","Lagos","Ibeju Lekki",3.85554,6.44513,"Land (beach, shoreline and inland) Cleanup",6,2017,694,96.7,3.3,0,0,94,66,0,0,0,56,3,0,100,309,19,0,4,0,0,3,"Lagos","Nigeria","NGLA","NG","LA"
"8","Eti Osa, Nigeria"," Nigeria","Lagos","Eti Osa",3.58276,6.46518,"Land (beach, shoreline and inland) Cleanup",1,2017,222,100,0,22,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"9","Port-Harcourt, Nigeria"," Nigeria","Rivers","Port-Harcourt",7.05324,4.81531,"Land (beach, shoreline and inland) Cleanup",56,2017,1937,73.4,26.6,63,17,169,158,0,11,0,117,1,0,290,132,92,39,112,1,82,118,"Rivers","Nigeria","NGRI","NG","RI"
"10","Eti Osa, Nigeria"," Nigeria","Lagos","Eti Osa",3.58276,6.46518,"Land (beach, shoreline and inland) Cleanup",1,2017,222,100,0,22,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"11","Eti Osa, Nigeria"," Nigeria","Lagos","Eti Osa",3.58276,6.46518,"Land (beach, shoreline and inland) Cleanup",1,2017,222,100,0,22,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"12","Eti Osa, Nigeria"," Nigeria","Lagos","Eti Osa",3.58276,6.46518,"Land (beach, shoreline and inland) Cleanup",1,2017,222,100,0,22,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"13","Eti Osa, Nigeria"," Nigeria","Lagos","Eti Osa",3.58276,6.46518,"Land (beach, shoreline and inland) Cleanup",1,2017,222,100,0,22,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"14","Apapa, Lagos, Nigeria"," Nigeria","Lagos","Apapa",3.34551,6.41186,"Land (beach, shoreline and inland) Cleanup",56,2017,3157,84.5,15.5,1264,2,141,305,0,0,0,168,11,0,366,320,15,59,0,13,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"15","Amuwo Odofin, Nigeria"," Nigeria","Lagos","Amuwo Odofin",3.39377,6.3936,"Land (beach, shoreline and inland) Cleanup",1,2018,96,88.5,11.5,54,0,0,0,0,0,3,7,0,0,10,0,0,0,1,0,0,9,"Lagos","Nigeria","NGLA","NG","LA"
"16","Surulere, Lagos, Nigeria"," Nigeria","Lagos","Surulere",3.36224,6.51806,"Land (beach, shoreline and inland) Cleanup",30,2018,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Lagos","Nigeria","NGLA","NG","LA"
"17","Eti Osa, Nigeria","","","Eti Osa",3.4471,6.42208,"Land (beach, shoreline and inland) Cleanup",200,2018,15228,90.4,9.6,1152,50,6049,628,0,0,0,3638,27,0,188,461,718,27,268,3,0,528,"Lagos","Nigeria","NGLA","NG","LA"
"18","Ibeju Lekki, Nigeria","","","Ibeju Lekki",3.85303,6.43838,"Land (beach, shoreline and inland) Cleanup",8,2018,1893,95.8,4.2,53,0,140,0,0,1,81,82,0,0,0,1428,21,4,0,1,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"19","Ibeju Lekki, Nigeria","","","Ibeju Lekki",3.85301,6.43838,"Land (beach, shoreline and inland) Cleanup",4,2018,380,100,0,7,0,8,0,0,0,0,1,0,0,318,12,0,0,29,1,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"20","Ibeju Lekki, Nigeria","","","Ibeju Lekki",3.85302,6.43838,"Land (beach, shoreline and inland) Cleanup",4,2018,60,96.7,3.3,2,0,0,0,0,0,0,2,0,0,37,8,0,1,0,0,1,7,"Lagos","Nigeria","NGLA","NG","LA"
"21","Ibeju Lekki, Nigeria","","","Ibeju Lekki",3.85301,6.43837,"Land (beach, shoreline and inland) Cleanup",5,2018,689,99.7,0.3,47,0,0,0,0,0,1,0,0,0,0,156,0,60,0,0,3,420,"Lagos","Nigeria","NGLA","NG","LA"
"22","Ibeju Lekki, Nigeria","","","Ibeju Lekki",3.8531,6.43838,"Land (beach, shoreline and inland) Cleanup",4,2018,287,99,1,36,0,26,0,0,0,0,5,0,0,1,211,3,2,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"23","Ibeju Lekki, Nigeria","","","Ibeju Lekki",3.84827,6.43886,"Land (beach, shoreline and inland) Cleanup",4,2018,971,99.9,0.1,37,0,0,1,0,0,0,12,0,0,0,408,0,512,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"24","Ibeju Lekki, Nigeria","","","Ibeju Lekki",3.84827,6.43886,"Land (beach, shoreline and inland) Cleanup",4,2018,615,100,0,262,0,0,0,0,0,0,0,0,0,0,272,0,80,1,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
"25","Ibeju Lekki, Nigeria","","","Ibeju Lekki",3.85301,6.43838,"Land (beach, shoreline and inland) Cleanup",5,2018,172,94.2,5.8,10,0,23,10,0,0,0,11,0,0,0,71,30,2,0,0,0,0,"Lagos","Nigeria","NGLA","NG","LA"
